time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
0.000000000000000e+00;0.000000000000000e+00;0.000000000000000e+00
5.000000000000000e-13;-9.905888319246716e-25;1.989972730157603e-22
1.000000000000000e-12;-3.323216647546841e-26;6.675938887959190e-24
1.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
2.000000000000000e-12;-8.186368181814762e-22;0.000000000000000e+00
2.500000000000000e-12;-2.924231583331774e-23;0.000000000000000e+00
3.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
3.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
4.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
4.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
5.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
5.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
5.999999999999999e-12;1.014834155121905e-22;0.000000000000000e+00
6.499999999999999e-12;4.501476239658862e-24;0.000000000000000e+00
6.999999999999999e-12;-1.454038662863692e-25;2.531796720551672e-23
7.500000000000000e-12;-6.766852077062952e-27;1.178255732445562e-24
8.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
8.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
9.000000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
9.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00
9.999999999999999e-12;-1.257965359396216e-23;0.000000000000000e+00
1.050000000000000e-11;-6.684578750189871e-25;0.000000000000000e+00
1.100000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.150000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.200000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.250000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.300000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.350000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.400000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.450000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.500000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.550000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
1.600000000000000e-11;-3.567249391084838e-26;6.210496788184915e-24
1.650000000000000e-11;-2.375442657329878e-27;4.135589463056354e-25
1.700000000000001e-11;-3.098637560026128e-24;0.000000000000000e+00
1.750000000000001e-11;-2.133903072191468e-25;0.000000000000000e+00
