time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
6.249999999999993e-11;1.000000000000000e-04;3.000000000000000e-04
6.299999999999992e-11;1.000000000000000e-04;3.000000000000000e-04
6.349999999999992e-11;1.000000000000000e-04;2.999999999999999e-04
6.399999999999992e-11;1.000000000000000e-04;2.999999999999999e-04
6.449999999999992e-11;1.000000000000000e-04;3.000000000000000e-04
6.499999999999992e-11;1.000000000000000e-04;3.000000000000000e-04
6.549999999999992e-11;9.999999999999999e-05;2.999999999999999e-04
6.599999999999991e-11;9.999999999999999e-05;3.000000000000000e-04
6.649999999999991e-11;1.000000000000000e-04;3.000000000000000e-04
6.699999999999991e-11;1.000000000000000e-04;3.000000000000000e-04
6.749999999999991e-11;1.000000000000000e-04;3.000000000000000e-04
6.799999999999991e-11;1.000000000000000e-04;2.999999999999999e-04
6.849999999999991e-11;1.000000000000000e-04;3.000000000000000e-04
6.899999999999990e-11;1.000000000000000e-04;3.000000000000000e-04
6.949999999999990e-11;9.999999999999999e-05;3.000000000000000e-04
6.999999999999990e-11;1.000000000000000e-04;3.000000000000000e-04
7.049999999999990e-11;1.000000000000000e-04;3.000000000000000e-04
7.099999999999990e-11;9.999999999999984e-05;3.000000000000000e-04
7.149999999999990e-11;5.000000000001054e-05;3.000000000000000e-04
7.199999999999989e-11;1.052991655357144e-17;3.000000000000000e-04
7.249999999999989e-11;1.102654373217268e-22;3.000000000000000e-04
7.299999999999989e-11;-2.117582368135751e-22;3.000000000000000e-04
7.349999999999989e-11;2.645065080371861e-22;3.000000000000000e-04
7.399999999999989e-11;-3.747060542146181e-22;3.000000000000000e-04
7.449999999999988e-11;5.208332183933076e-22;3.000000000000000e-04
7.499999999999988e-11;2.550827324854883e-22;3.000000000000000e-04
7.549999999999988e-11;-1.715846188532441e-22;3.000000000000000e-04
7.599999999999988e-11;-5.838081594245934e-23;3.000000000000000e-04
7.649999999999988e-11;-1.394419244307419e-22;3.000000000000000e-04
7.699999999999988e-11;2.117582368135751e-22;3.000000000000000e-04
7.749999999999987e-11;0.000000000000000e+00;3.000000000000000e-04
7.799999999999987e-11;-1.865448465901346e-22;2.999999999999999e-04
7.849999999999987e-11;8.270805303232875e-24;3.000000000000000e-04
7.899999999999987e-11;1.092890850779373e-22;3.000000000000000e-04
7.949999999999987e-11;0.000000000000000e+00;3.000000000000000e-04
7.999999999999987e-11;-7.525610176432240e-23;3.000000000000000e-04
8.049999999999986e-11;0.000000000000000e+00;3.000000000000000e-04
8.099999999999986e-11;5.597742117370700e-23;3.000000000000000e-04
8.149999999999986e-11;-1.811114730064649e-22;3.000000000000000e-04
8.199999999999986e-11;0.000000000000000e+00;3.000000000000000e-04
8.249999999999986e-11;6.882450498273117e-23;3.000000000000000e-04
8.299999999999986e-11;0.000000000000000e+00;3.000000000000000e-04
8.349999999999985e-11;-1.482147992689496e-22;3.000000000000000e-04
