time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
0.000000000000000e+00;-2.124209001668389e-17;3.488763242593489e-05;1.391292775129843e-05;0.000000000000000e+00;1.681686165747457e-05
5.000000000000000e-13;-9.003658482937976e-16;5.327344850044357e-02;2.228292440426421e-02;-6.170110522338707e-18;2.563667747022507e-02
1.000000000000000e-12;-1.241129729852476e-15;1.658525305219438e-01;7.242677770743537e-02;-1.896015867142034e-17;7.888388726199055e-02
1.500000000000000e-12;-1.271466215210173e-15;2.970654853115519e-01;1.346260149356679e-01;-2.435130130895661e-17;1.390308339465198e-01
2.000000000000000e-12;-1.162579040762731e-15;4.223991797341017e-01;1.977075253352092e-01;-2.451889165410047e-17;1.938763642585420e-01
2.500000000000000e-12;-1.009536593230785e-15;5.306967825359657e-01;2.548978179096388e-01;-2.451889165410047e-17;2.386991935896415e-01
3.000000000000000e-12;-8.451730570399745e-16;6.190185748619103e-01;3.028569449284662e-01;-2.203409513634648e-17;2.733454437205580e-01
3.500000000000000e-12;-6.903826413598682e-16;6.885730913789789e-01;3.406253568073110e-01;-1.697813318909790e-17;2.997011508340913e-01
4.000000000000000e-12;-5.557954835554067e-16;7.422201532729946e-01;3.687692271294251e-01;-1.183065485177141e-17;3.201105949364270e-01
4.500000000000000e-12;-4.467317997873979e-16;7.831217342704266e-01;3.887028524910452e-01;-7.921714164568923e-18;3.365858379932996e-01
5.000000000000000e-12;-3.633797703143350e-16;8.141304017410825e-01;4.021815765414391e-01;-6.535606972653392e-18;3.505498101789270e-01
5.500000000000000e-12;-2.958516838485752e-16;8.375910915125296e-01;4.109538505452046e-01;-6.484701299277106e-18;3.628709747037637e-01
5.999999999999999e-12;-2.388118817942989e-16;8.553412940766462e-01;4.165515556118098e-01;-6.176032038934355e-18;3.740134496896957e-01
6.499999999999999e-12;-1.908233512862142e-16;8.687868612148432e-01;4.201907810579208e-01;-5.237619556958114e-18;3.841982011634039e-01
6.999999999999999e-12;-1.506017964791582e-16;8.789927228330026e-01;4.227527523618910e-01;-3.964441543158813e-18;3.935277427246009e-01
7.500000000000000e-12;-1.205553708258219e-16;8.867636256748831e-01;4.248160691241692e-01;-2.677571958827189e-18;4.020632734820893e-01
8.000000000000000e-12;-1.007936068904640e-16;8.927080581821901e-01;4.267156869557243e-01;-1.544393569874774e-18;4.098618470556623e-01
8.500000000000000e-12;-8.517529120583769e-17;8.972862656351185e-01;4.286098912387490e-01;-8.789736936281087e-19;4.169873600649319e-01
9.000000000000000e-12;-6.973285619385818e-17;9.008457120314618e-01;4.305427004221633e-01;-6.956473354116783e-19;4.235082829847432e-01
9.500000000000000e-12;-5.551609013615938e-17;9.036474412888837e-01;4.324947705445478e-01;-6.879972566553114e-19;4.294912770673144e-01
9.999999999999999e-12;-4.380928887790423e-17;9.058860630897108e-01;4.344203507371364e-01;-6.879972566553114e-19;4.349957335380597e-01
1.050000000000000e-11;-3.467365304914367e-17;9.077052500422358e-01;4.362709180997500e-01;-6.879972566553114e-19;4.400710834879493e-01
1.100000000000000e-11;-2.810918264987769e-17;9.092099553368034e-01;4.380078581206607e-01;-6.879972566553114e-19;4.447567915354338e-01
1.150000000000000e-11;-2.411587768010631e-17;9.104761021950438e-01;4.396072087525608e-01;-6.879972566553114e-19;4.490840954964450e-01
1.200000000000000e-11;-2.025526892711144e-17;9.115582266265636e-01;4.410593895782851e-01;-6.879972566553115e-19;4.530784319049323e-01
1.250000000000000e-11;-1.395876470056715e-17;9.124954155503934e-01;4.423663201823925e-01;-6.879972566553113e-19;4.567617393503701e-01
1.300000000000000e-11;-9.957738513289782e-18;9.133158186820800e-01;4.435376574651997e-01;-6.879972566553114e-19;4.601541943794165e-01
1.350000000000000e-11;-1.095862575071910e-17;9.140399842986650e-01;4.445872287791046e-01;-6.879972566553114e-19;4.632752533121839e-01
1.400000000000000e-11;-1.345958246307244e-17;9.146832510938510e-01;4.455302042835553e-01;-6.879972566553114e-19;4.661440840004145e-01
1.450000000000000e-11;-1.603332163173569e-17;9.152574084670791e-01;4.463811725660111e-01;-6.879972566553114e-19;4.687795706042088e-01
1.500000000000000e-11;-1.618403402269282e-17;9.157718119598758e-01;4.471530516611819e-01;-6.879972566553114e-19;4.712000884964842e-01
1.550000000000000e-11;-1.497380750342409e-17;9.162341101689317e-01;4.478566545615729e-01;-6.879972566553114e-19;4.734232104469882e-01
1.600000000000000e-11;-1.610481721846127e-17;9.166507072988189e-01;4.485006984848913e-01;-6.879972566553114e-19;4.754654499298491e-01
1.650000000000000e-11;-1.739168680279290e-17;9.170270546967828e-01;4.490920671288524e-01;-6.879972566553114e-19;4.773420937036130e-01
1.700000000000001e-11;-1.626582456609303e-17;9.173678375999835e-01;4.496361784301062e-01;-6.879972566553114e-19;4.790671346867148e-01
1.750000000000001e-11;-1.256879689989854e-17;9.176771012223642e-01;4.501373587664837e-01;-6.879972566553114e-19;4.806532907463765e-01
1.800000000000001e-11;-7.504395975556558e-18;9.179583435360456e-01;4.505991674850266e-01;-6.879972566553115e-19;4.821120836332455e-01
1.850000000000001e-11;-2.356917638230044e-18;9.182145902649447e-01;4.510246483594756e-01;-6.879972566553114e-19;4.834539510133573e-01
1.900000000000001e-11;3.991779131274918e-18;9.184484598925573e-01;4.514165062861040e-01;-6.879972566553114e-19;4.846883691237465e-01
1.950000000000001e-11;1.042612705293306e-17;9.186622219205242e-01;4.517772196623778e-01;-6.879972566553113e-19;4.858239704847776e-01
2.000000000000001e-11;1.326454089556181e-17;9.188583788122033e-01;4.521099645324326e-01;-6.879972566553113e-19;4.868713502721029e-01
2.050000000000002e-11;1.120477743888049e-17;9.195359205803524e-01;4.582330001658281e-01;1.021308689032310e-02;4.886010278612803e-01
2.100000000000002e-11;1.023866009844354e-17;9.214963753163400e-01;4.788399148763023e-01;4.458760456999066e-02;4.922444719867543e-01
2.150000000000002e-11;8.759210480816638e-18;9.259970423210198e-01;5.232139044079989e-01;1.147058412649542e-01;4.994540379900040e-01
2.200000000000002e-11;5.866649372635139e-18;9.321940066917251e-01;5.746696974338898e-01;1.930516315877737e-01;5.086061364109371e-01
2.250000000000002e-11;1.365823001435208e-18;9.397361536088666e-01;6.247234369775180e-01;2.690229703389941e-01;5.189344722852499e-01
2.300000000000002e-11;-3.142724587270586e-18;9.483468586562521e-01;6.677694736872897e-01;3.371891066184283e-01;5.298437646058334e-01
2.350000000000003e-11;-6.365689461229078e-18;9.576267027293980e-01;7.013029135608030e-01;3.959590769015338e-01;5.407330521535744e-01
2.400000000000003e-11;-8.303071620440267e-18;9.671477704660398e-01;7.253274384457014e-01;4.457640340253466e-01;5.510897436525621e-01
2.450000000000003e-11;-7.684730785168671e-18;9.764993815182499e-01;7.411909775573757e-01;4.877053352643688e-01;5.605207017228557e-01
2.500000000000003e-11;-3.843425075938583e-18;9.853372861502618e-01;7.507589351690878e-01;5.229922401042825e-01;5.687866369247839e-01
2.550000000000003e-11;6.715568606888415e-19;9.934132126084705e-01;7.559003999849629e-01;5.527312178183448e-01;5.758075626749353e-01
2.600000000000003e-11;3.269746551454200e-18;1.000581792214768e+00;7.582177922733556e-01;5.778659997003268e-01;5.816380754796853e-01
2.650000000000003e-11;3.926693474255390e-18;1.006790421719228e+00;7.589436081146885e-01;5.991776679271826e-01;5.864247896511217e-01
2.700000000000004e-11;3.926693474255390e-18;1.012059624780166e+00;7.589392425136690e-01;6.173051484521191e-01;5.903601782443010e-01
2.750000000000004e-11;3.926693474255390e-18;1.016460409126645e+00;7.587474242035342e-01;6.327697623895024e-01;5.936432704850314e-01
2.800000000000004e-11;5.178817579810309e-18;1.020093048550944e+00;7.586654494705207e-01;6.459977886939627e-01;5.964523673306245e-01
2.850000000000004e-11;1.025165748124610e-17;1.023069698360419e+00;7.588190600683392e-01;6.573393309409826e-01;5.989304682830212e-01
2.900000000000004e-11;1.859636330084468e-17;1.025501695121524e+00;7.592261832688636e-01;6.670834659507474e-01;6.011812870780777e-01
2.950000000000004e-11;2.511564461506810e-17;1.027491372978406e+00;7.598461981417020e-01;6.754702023618511e-01;6.032725292185652e-01
3.000000000000004e-11;2.649259507030245e-17;1.029127674596221e+00;7.606144482631304e-01;6.826998736782497e-01;6.052430795725122e-01
3.050000000000004e-11;2.458609778111505e-17;1.030484622276719e+00;7.614639483933084e-01;6.889405262790220e-01;6.071113949545979e-01
3.100000000000004e-11;2.170318819481610e-17;1.031641834527800e+00;7.623411124416066e-01;6.944207682165612e-01;6.088954846429695e-01
3.150000000000003e-11;1.809956729781225e-17;1.032085244046170e+00;7.573499969925553e-01;6.887442621886882e-01;6.097827501167394e-01
3.200000000000003e-11;1.552389782477261e-17;1.031116227074241e+00;7.376967002717488e-01;6.581572731257366e-01;6.086039590221620e-01
3.250000000000003e-11;1.089489924297290e-17;1.027427867790582e+00;6.936428082184622e-01;5.901468645154323e-01;6.036193681659421e-01
3.300000000000003e-11;2.850999188712118e-18;1.021881883147246e+00;6.417638964513399e-01;5.121509917053970e-01;5.964655116740811e-01
3.350000000000003e-11;-2.629456653559892e-18;1.014813269331269e+00;5.907068198212508e-01;4.349633995405803e-01;5.878905015013171e-01
3.400000000000002e-11;-4.249303742837165e-18;1.006481046812639e+00;5.464442608584210e-01;3.644435599013175e-01;5.784748513826876e-01
3.450000000000002e-11;-3.930481803318984e-18;9.972948388776502e-01;5.119737410722736e-01;3.028547383465869e-01;5.688447271658459e-01
3.500000000000002e-11;-2.968868506427170e-18;9.877170961416770e-01;4.876494854688039e-01;2.503549083184908e-01;5.595658675740413e-01
3.550000000000002e-11;-1.681998922095558e-18;9.782132346819397e-01;4.722386956751766e-01;2.062403150759665e-01;5.511009161149891e-01
3.600000000000002e-11;-2.296479148613943e-18;9.691917191113962e-01;4.637685863406007e-01;1.695043683160742e-01;5.437577227684952e-01
3.650000000000002e-11;-4.553970116927672e-18;9.609616487730722e-01;4.601317322487950e-01;1.390922989400690e-01;5.376680715893404e-01
3.700000000000001e-11;-3.959436368966501e-18;9.537152569307854e-01;4.594577079392025e-01;1.140140618033743e-01;5.328035787069435e-01
3.750000000000001e-11;-4.273010773723194e-19;9.475323689165251e-01;4.602901514289239e-01;9.338888855997399e-02;5.290180520246780e-01
3.800000000000001e-11;2.176036091730592e-18;9.423996204198563e-01;4.616234268568705e-01;7.645656096620641e-02;5.261001649111474e-01
3.850000000000001e-11;3.462905676062204e-18;9.382366763252337e-01;4.628533820648351e-01;6.257291406409968e-02;5.238223823284403e-01
3.900000000000001e-11;5.375837313171092e-18;9.349230888955955e-01;4.636875340172865e-01;5.119852562059149e-02;5.219774944964860e-01
3.950000000000001e-11;7.324801298641382e-18;9.323215811313639e-01;4.640469230786597e-01;4.188517382808289e-02;5.203998097980385e-01
4.000000000000000e-11;7.988182569364403e-18;9.302956594179728e-01;4.639789718136829e-01;3.426233915730843e-02;5.189723506389732e-01
4.050000000000000e-11;6.743779681315905e-18;9.287211348665425e-01;4.635902384530690e-01;2.802479759523544e-02;5.176237530028822e-01
4.100000000000000e-11;3.549125938212777e-18;9.274922258255847e-01;4.630007237978314e-01;2.292170372098139e-02;5.163192093282121e-01
4.150000000000000e-11;2.167028004640194e-18;9.265234631734646e-01;4.623171658539854e-01;1.874722994777643e-02;5.150492714055784e-01
4.200000000000000e-11;4.690579259514246e-18;9.257487526335706e-01;4.616208777039195e-01;1.533266890206732e-02;5.138192404465431e-01
4.250000000000000e-11;6.700026115448448e-18;9.251188150919529e-01;4.609653856473439e-01;1.253983943774056e-02;5.126406835102975e-01
4.299999999999999e-11;4.852724827140842e-18;9.245979604309438e-01;4.603797287061652e-01;1.025561874336525e-02;5.115256160958241e-01
4.349999999999999e-11;9.921160741460075e-19;9.241608516288431e-01;4.598742740993690e-01;8.387428855156991e-03;5.104832017160847e-01
4.399999999999999e-11;-1.642105964981128e-18;9.237896453582035e-01;4.594469466347035e-01;6.859522324061913e-03;5.095184446930400e-01
4.449999999999999e-11;-1.705162574613726e-18;9.234716830366744e-01;4.590886718527685e-01;5.609931782330976e-03;5.086322305171226e-01
4.499999999999999e-11;1.923266274830504e-19;9.231977596544498e-01;4.587875127010297e-01;4.587968183569290e-03;5.078221137652887e-01
4.549999999999999e-11;2.156733047965452e-18;9.229609104162595e-01;4.585314298774829e-01;3.752170922263287e-03;5.070833860866880e-01
4.599999999999998e-11;2.835556753700585e-18;9.227556144491997e-01;4.583098498117555e-01;3.068629255224469e-03;5.064101141146946e-01
4.649999999999998e-11;2.228797744688449e-18;9.225773061585605e-01;4.581143312407756e-01;2.509608343612245e-03;5.057959798933483e-01
4.699999999999998e-11;-2.690161184987506e-19;9.224220953233848e-01;4.579386320816979e-01;2.052424949937775e-03;5.052348652323372e-01
4.749999999999998e-11;-4.129624871493586e-18;9.222866166105037e-01;4.577784356236647e-01;1.678527599863384e-03;5.047211918945773e-01
4.799999999999998e-11;-6.784436823970204e-18;9.221679508932861e-01;4.576309305896403e-01;1.372744120199816e-03;5.042500662645222e-01
4.849999999999997e-11;-7.469694877627050e-18;9.220635804435893e-01;4.574943738346621e-01;1.122666149132528e-03;5.038172888226898e-01
4.899999999999997e-11;-7.469694877627050e-18;9.219713557604552e-01;4.573677085118310e-01;9.181457139995288e-04;5.034192846569877e-01
4.949999999999997e-11;-8.667770460639211e-18;9.218894630416122e-01;4.572502688302018e-01;7.508834872310820e-04;5.030529992815279e-01
4.999999999999997e-11;-1.303476239506768e-17;9.218154885214201e-01;4.571405509048126e-01;6.111760158049055e-04;5.027125352477860e-01
