time units=S;v(1,2) units=V;v(2,3) units=V;v(3,4) units=V;v(4,5) units=V;v(5,6) units=V;v(6,7) units=V;v(7,8) units=V
6.999999999999999e-12;0.000000000000000e+00;-3.388131789017201e-21;-3.063910539748968e-06;-1.053808276665877e-05;-8.366684440822338e-06;-3.953768561978018e-06;-5.203332741856861e-06
7.500000000000000e-12;0.000000000000000e+00;0.000000000000000e+00;-2.963357906425913e-06;-1.019223977985192e-05;-7.352483342709673e-06;-3.474496701581346e-06;-4.326816282085199e-06
8.000000000000000e-12;0.000000000000000e+00;3.388131789017201e-21;-2.674125019444623e-06;-9.197445688349886e-06;-5.739556955610527e-06;-2.712290634514812e-06;-3.954296837863241e-06
8.500000000000000e-12;0.000000000000000e+00;5.082197683525802e-21;-2.240516000313047e-06;-7.706081083309081e-06;-3.938827109893302e-06;-1.861335981805313e-06;-3.784957789067936e-06
9.000000000000000e-12;0.000000000000000e+00;3.388131789017201e-21;-1.716224105534062e-06;-5.902819757830469e-06;-2.286323307791395e-06;-1.080427172893007e-06;-3.589415087101814e-06
9.500000000000000e-12;0.000000000000000e+00;1.694065894508601e-21;-1.159513958135142e-06;-3.988058365735356e-06;-9.945982071726820e-07;-4.700082991172229e-07;-3.249601918317031e-06
9.999999999999999e-12;0.000000000000000e+00;8.470329472543003e-22;-6.260532769003176e-07;-2.153261710070580e-06;-1.448869061985290e-07;-6.846789775018592e-08;-2.753812503056611e-06
1.050000000000000e-11;0.000000000000000e+00;-2.117582368135751e-22;-1.619131675698020e-07;-5.568877872620875e-07;2.897591255632348e-07;1.369288550720593e-07;-2.163772609589802e-06
1.100000000000000e-11;0.000000000000000e+00;-8.470329472543003e-22;2.014034005974195e-07;6.927113822145515e-07;4.047391505559637e-07;1.912639278503824e-07;-1.572034856603894e-06
1.150000000000000e-11;0.000000000000000e+00;-1.270549420881451e-21;4.490153440339885e-07;1.544353465140687e-06;3.216241590003321e-07;1.519870263608624e-07;-1.064352428280045e-06
1.200000000000000e-11;0.000000000000000e+00;-1.694065894508601e-21;5.818283643698566e-07;2.001153552024309e-06;1.537425499932014e-07;7.265272941353642e-08;-6.955640929222934e-07
