time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
0.000000000000000e+00;0.000000000000000e+00;3.846670492646806e-05;5.357561866825779e-05;7.862850336748442e-05;2.223201902876058e-05
5.000000000000000e-13;1.260846735611837e-17;7.103277533037129e-02;9.713784893904064e-02;1.492706547599374e-01;4.122973972034658e-02
1.000000000000000e-12;2.763921966445704e-17;2.335117482492659e-01;3.133906207267523e-01;5.000320530313692e-01;1.352693670844626e-01
1.500000000000000e-12;3.238531025481738e-17;4.420282505931956e-01;5.819907202565286e-01;9.641396997809355e-01;2.549284456280704e-01
2.000000000000000e-12;3.238531025481738e-17;6.661376150424165e-01;8.592119426541652e-01;1.490310944289701e+00;3.815959813229139e-01
2.500000000000000e-12;3.238531025481738e-17;8.787602506326804e-01;1.110722504343709e+00;2.045960848708505e+00;4.990143248427568e-01
3.000000000000000e-12;2.134934782628001e-17;1.064378724103561e+00;1.321004697323509e+00;2.639342952939224e+00;5.982899630052992e-01
3.500000000000000e-12;-1.576362429580803e-17;1.217181368240876e+00;1.488194992015188e+00;3.312921205747420e+00;6.768833185592585e-01
4.000000000000000e-12;-6.723840766907298e-17;1.338184963047033e+00;1.618135707424472e+00;4.121446155728040e+00;7.368272234458321e-01
4.500000000000000e-12;-1.069290320633053e-16;1.432027376985886e+00;1.719295559388034e+00;5.095688541648170e+00;7.824513505641894e-01
5.000000000000000e-12;-1.189963680420038e-16;1.502602067046948e+00;1.798246810611449e+00;6.217562727327083e+00;8.179357375114749e-01
5.500000000000000e-12;-9.643001918196819e-17;1.555670386745476e+00;1.862277617896103e+00;7.366848718114871e+00;8.480245079804165e-01
5.999999999999999e-12;-4.247508468129076e-17;1.596145434066773e+00;1.916969491911990e+00;8.423116109932174e+00;8.762244474506812e-01
6.499999999999999e-12;1.091735783242640e-17;1.628225978285752e+00;1.966586361800563e+00;9.415784842227289e+00;9.044671116330105e-01
6.999999999999999e-12;4.938252776940761e-17;1.655242236111466e+00;2.014107922093329e+00;1.045029248009857e+01;9.333219596536221e-01
7.500000000000000e-12;7.174989391638951e-17;1.678933485349130e+00;2.061516151629151e+00;1.161681490315280e+01;9.628204900701686e-01
8.000000000000000e-12;8.134636815623767e-17;1.701344044490745e+00;2.110602045806719e+00;1.286909495303415e+01;9.925371811674113e-01
8.500000000000000e-12;7.444581055637943e-17;1.723830071582916e+00;2.162813427349408e+00;1.407305476378500e+01;1.022072758190251e+00
9.000000000000000e-12;5.585048344897840e-17;1.747576080685421e+00;2.219525318901045e+00;1.516358197961778e+01;1.051185328254223e+00
9.500000000000000e-12;3.116469385512419e-17;1.773517850933682e+00;2.281901699284497e+00;1.622080576808578e+01;1.079916366980435e+00
9.999999999999999e-12;1.075177281021009e-17;1.802542009367153e+00;2.351333605336059e+00;1.735921235022141e+01;1.108529421695889e+00
1.050000000000000e-11;3.016758576779354e-18;1.835746438013717e+00;2.429860320235640e+00;1.861665705924572e+01;1.137545500415654e+00
1.100000000000000e-11;2.686323406044886e-18;1.873975177435622e+00;2.519176760675985e+00;1.987879244708156e+01;1.167609953138996e+00
1.150000000000000e-11;-5.993976770424261e-18;1.918565725359380e+00;2.622211819665470e+00;2.102932554606827e+01;1.199547130324777e+00
1.200000000000000e-11;-2.428862635607124e-17;1.971106870626760e+00;2.742562061600107e+00;2.209914777981863e+01;1.234306646932723e+00
1.250000000000000e-11;-3.142818646794324e-17;2.033140016350038e+00;2.883717583178367e+00;2.320854357173543e+01;1.272772808855305e+00
1.300000000000000e-11;-2.852374968486398e-17;2.107101679098436e+00;3.050948478463391e+00;2.443364336833353e+01;1.316116271710072e+00
