#Title: CKT2
#Date: 
#Plotname: Transient analysis
#Flags: real
#No. Variables: 8
#No. Points: 651     
#Command: version 4.3.22
#Variables:
"time units=S","v(1,2) units=V","v(2,3) units=V","v(3,4) units=V","v(4,5) units=V","v(5,6) units=V","v(6,7) units=V","v(7,8) units=V"
#Values:
0,000000000000000e+00,-2,220446049250313e-16,0,000000000000000e+00,-1,131934082660612e+01,-3,877564576417848e+01,3,309956273780471e+01,1,566233099970164e+01,2,899425757094093e+00
5,000000000000000e-13,2,442074320541110e-13,-8,326672684688674e-17,-4,395596065595184e-02,-1,511831189070951e-01,1,219725062442418e-01,5,763944654789438e-02,3,111105619619327e-02
1,000000000000000e-12,5,247816070585998e-13,-3,608224830031759e-16,-6,732858059664037e-02,-2,315714331826540e-01,1,860753546335481e-01,8,793195112970108e-02,5,355427440921809e-02
1,500000000000000e-12,-3,071015663991261e-13,4,857225732735060e-16,-7,661498805621753e-02,-2,635113117240291e-01,2,103194821429185e-01,9,938877966964488e-02,6,656914853843829e-02
2,000000000000000e-12,-4,133776654313692e-13,-2,914335439641036e-16,-7,672272759558477e-02,-2,638818735082166e-01,2,089927725879625e-01,9,876182850739323e-02,7,424896568435368e-02
2,500000000000000e-12,-2,741473714706899e-12,-1,262878690511116e-15,-7,126573043423677e-02,-2,451129548913204e-01,1,926926753719699e-01,9,105903862675349e-02,7,807787524900300e-02
3,000000000000000e-12,-4,878764059412788e-12,3,330669073875470e-16,-6,282168669403385e-02,-2,160703210443965e-01,1,689699391610200e-01,7,984859944329684e-02,7,857107133288962e-02
3,500000000000000e-12,4,256317520656694e-13,1,276756478318930e-15,-5,316232093042028e-02,-1,828476813506170e-01,1,429256431149563e-01,6,754108134652534e-02,7,608671549079080e-02
4,000000000000000e-12,2,354411110516708e-11,1,637578961322106e-15,-4,343900343393090e-02,-1,494050844621380e-01,1,177303384612310e-01,5,563476355668392e-02,7,111713495415287e-02
4,500000000000000e-12,-4,213074333847544e-12,4,080069615497450e-15,-3,435190583434591e-02,-1,181507170007237e-01,9,513721679215487e-02,4,495813598135084e-02,6,432012615458177e-02
5,000000000000000e-12,6,011580122589066e-12,-2,775557561562891e-17,-2,627809296348241e-02,-9,038146343628808e-02,7,590557689536875e-02,3,587001346425345e-02,5,643008006079239e-02
5,500000000000000e-12,-4,828637489850962e-12,-2,609024107869118e-15,-1,937313030923574e-02,-6,663237981121198e-02,6,014836203076163e-02,2,842376866609031e-02,4,815285475528799e-02
5,999999999999999e-12,6,051659173778035e-12,-6,161737786669619e-15,-1,364807731365661e-02,-4,694150389400964e-02,4,760229588961068e-02,2,249498731633187e-02,4,007914623948700e-02
6,499999999999999e-12,-2,179115221601080e-11,-4,163336342344337e-15,-9,027689021354202e-03,-3,105003620716862e-02,3,781992599945752e-02,1,787222121147275e-02,3,264553316697713e-02
6,999999999999999e-12,1,704242302835723e-11,1,720845688168993e-15,-5,391596520218478e-03,-1,854397825032594e-02,3,030278044770471e-02,1,431991144232253e-02,2,611665632434362e-02
7,500000000000000e-12,-6,229627924625447e-12,-4,996003610813204e-16,-2,598542084161382e-03,-8,937483594920248e-03,2,457008850759945e-02,1,161086511758480e-02,2,061395371034905e-02
8,000000000000000e-12,-2,775557561562891e-13,-3,941291737419306e-15,-5,086730685916474e-04,-1,749541171835234e-03,2,020805881054219e-02,9,549540185217864e-03,1,613696242253881e-02
8,500000000000000e-12,1,163624752109627e-12,-3,497202527569243e-15,1,009950624869693e-03,3,473646308870315e-03,1,687772609470051e-02,7,975754427430537e-03,1,260594800726847e-02
9,000000000000000e-12,-1,530442439445778e-12,-4,218847493575595e-15,2,074563040137867e-03,7,135299240789428e-03,1,431188741985293e-02,6,763239757049927e-03,9,896116678752315e-03
9,500000000000000e-12,6,350475700855895e-13,-1,165734175856414e-15,2,785445588474489e-03,9,580323496991450e-03,1,231421013837913e-02,5,819214782108117e-03,7,861110948329864e-03
9,999999999999999e-12,6,079026171335045e-13,2,498001805406602e-15,3,225180302718289e-03,1,109275870585597e-02,1,073312326877379e-02,5,072056009059078e-03,6,359625291003201e-03
1,050000000000000e-11,6,557199228041100e-12,-2,664535259100376e-15,3,462927543188055e-03,1,191047211936080e-02,9,465785080045669e-03,4,473161497598188e-03,5,262686171972619e-03
1,100000000000000e-11,2,710665025773551e-12,1,887379141862766e-15,3,551822936838644e-03,1,221621985629889e-02,8,439692059222348e-03,3,988269303575848e-03,4,462740224670997e-03
1,150000000000000e-11,3,483935362424972e-12,3,108624468950438e-15,3,534953237312788e-03,1,215819698924081e-02,7,596692407841110e-03,3,589899526167006e-03,3,873336098522834e-03
1,200000000000000e-11,5,381028955753209e-12,-1,221245327087672e-15,3,443424718478416e-03,1,184339334858553e-02,6,883596801072533e-03,3,252920109092422e-03,3,431872672836012e-03
1,250000000000000e-11,-1,992306319920090e-11,-2,164934898019055e-15,3,307823611497618e-03,1,137700181629681e-02,6,285908050584682e-03,2,970473861042933e-03,3,088792003180157e-03
1,300000000000000e-11,1,366651236622829e-11,-1,554312234475219e-15,3,136345127156104e-03,1,078721732079169e-02,5,770241968905687e-03,2,726792339019568e-03,2,814898771208441e-03
1,350000000000000e-11,-1,945599237274109e-11,2,609024107869118e-15,2,955267744815249e-03,1,016441331785908e-02,5,327685509845276e-03,2,517655360636445e-03,2,585309305293243e-03
1,400000000000000e-11,1,456729181725791e-11,2,164934898019055e-15,2,762965843880028e-03,9,503007274161035e-03,4,930974786137243e-03,2,330186692434844e-03,2,388967989968627e-03
1,450000000000000e-11,1,716959907582805e-13,5,051514762044462e-15,2,574136941461469e-03,8,853544459638873e-03,4,580245625441820e-03,2,164445350891914e-03,2,215084495102382e-03
1,500000000000000e-11,-1,062383514494059e-11,-5,551115123125783e-17,2,390463778171148e-03,8,221814412470385e-03,4,264996329672421e-03,2,015470359467697e-03,2,058512917089694e-03
1,550000000000000e-11,2,991207281866082e-11,-2,275957200481571e-15,2,211847380091558e-03,7,607478526671319e-03,3,966427980428733e-03,1,874379825912043e-03,1,916149883113449e-03
1,600000000000000e-11,-1,885186451389131e-11,2,942091015256665e-15,2,049014145589279e-03,7,047424785120993e-03,3,704410726533325e-03,1,750559443696120e-03,1,784423879251151e-03
1,650000000000000e-11,4,491851335330921e-12,1,165734175856414e-15,1,891541254507662e-03,6,505809629183595e-03,3,452077871043180e-03,1,631317372910390e-03,1,663714287254675e-03
1,700000000000001e-11,1,653538417301093e-11,2,442490654175344e-15,1,745929812059316e-03,6,004990773884750e-03,3,217575283949281e-03,1,520500879211739e-03,1,551914864822479e-03
1,750000000000001e-11,-2,473982130268837e-11,3,497202527569243e-15,1,617368150076626e-03,5,562811131743256e-03,3,000679167871251e-03,1,418003058972273e-03,1,446149668429098e-03
1,800000000000001e-11,1,726763176890245e-11,4,496403249731884e-15,1,487324733879386e-03,5,115538914060080e-03,2,794414524709465e-03,1,320531753108978e-03,1,349691931866959e-03
1,850000000000001e-11,-2,479960681256443e-12,4,052314039881821e-15,1,376485729515153e-03,4,734315852038457e-03,2,602248748204333e-03,1,229721147254503e-03,1,258408668171312e-03
1,900000000000001e-11,-6,454725642868198e-12,3,164135620181696e-15,1,273418910459234e-03,4,379824909115926e-03,2,421987158147398e-03,1,144536324133277e-03,1,172644046901566e-03
1,950000000000001e-11,4,887618088034174e-12,-1,554312234475219e-15,1,170513544438506e-03,4,025892627300076e-03,2,252530248233409e-03,1,064458576395366e-03,1,093372440944651e-03
2,000000000000001e-11,-5,159594973491721e-12,-5,773159728050814e-15,1,089204238303942e-03,3,746232409132855e-03,2,093495696060571e-03,9,893041044935769e-04,1,017119364311647e-03
2,050000000000002e-11,5,001554725936330e-14,8,132383655379272e-15,1,005163543947668e-03,3,457182110710333e-03,1,945220061119302e-03,9,192350945056438e-04,9,468937986325254e-04
2,100000000000002e-11,9,405920486926789e-12,-8,104628079763643e-15,9,276166657710416e-04,3,190467127443058e-03,1,807181444845901e-03,8,540037154024516e-04,8,811317292129472e-04
2,150000000000002e-11,-7,785549982486373e-12,-2,220446049250313e-15,8,654452187865924e-04,2,976628514799906e-03,1,678307905683157e-03,7,931023617032962e-04,8,183596838791385e-04
2,200000000000002e-11,6,599831792186706e-12,2,292610545850948e-14,7,955560691573771e-04,2,736254913285330e-03,1,555784025664309e-03,7,352029777624169e-04,7,609068752812143e-04
2,250000000000002e-11,9,429956815409923e-13,1,010302952408892e-14,7,382008320385991e-04,2,538984711056902e-03,1,444707430599851e-03,6,827123784806932e-04,7,071967633749399e-04
2,300000000000002e-11,-1,105326941086560e-11,-2,842170943040401e-14,6,857040600672937e-04,2,358423915900965e-03,1,344134707764150e-03,6,351854554484948e-04,6,570773463898394e-04
2,350000000000003e-11,3,205297138819674e-12,-6,064593272014918e-14,6,318294920947543e-04,2,173131519945526e-03,1,237043235847307e-03,5,845787893091758e-04,6,089664517079652e-04
2,400000000000003e-11,-2,228939255388696e-12,-4,385380947269368e-14,5,883922479151815e-04,2,023728340330433e-03,1,156964309281694e-03,5,467359764843027e-04,5,657375244134955e-04
2,450000000000003e-11,3,563538353290596e-13,-3,774758283725532e-14,5,450925371838777e-04,1,874803112928536e-03,1,070902566923326e-03,5,060667570912503e-04,5,245861821452924e-04
2,500000000000003e-11,-7,858408368477399e-12,-1,901256929670581e-14,5,031858061356753e-04,1,730670468099132e-03,9,894421406665688e-04,4,675716849654732e-04,4,863840349808857e-04
2,550000000000003e-11,2,188468850583547e-11,1,479372180313021e-14,4,707707863955968e-04,1,619176658565424e-03,9,230852057449113e-04,4,362140665413183e-04,4,520220039753442e-04
2,600000000000003e-11,-6,439571098582064e-12,3,552713678800501e-14,4,330763550059735e-04,1,489533658520864e-03,8,528289487690632e-04,4,030136691105801e-04,4,184111839448668e-04
2,650000000000003e-11,-7,356337761166287e-13,3,469446951953614e-14,4,020146237470323e-04,1,382698771684066e-03,7,910095637860270e-04,3,738002661849982e-04,3,880761505777319e-04
2,700000000000004e-11,5,102113176391754e-12,2,681188604469753e-14,3,739542984494970e-04,1,286184487286346e-03,7,379309144866231e-04,3,487174168729235e-04,3,609917758561343e-04
2,750000000000004e-11,-4,978045753389893e-12,7,938094626069869e-15,3,452963468397741e-04,1,187622469057098e-03,6,773873048894763e-04,3,201067012387759e-04,3,334506595383258e-04
2,800000000000004e-11,3,303551876499000e-12,-8,187894806610529e-15,3,210992417802261e-04,1,104395216318249e-03,6,320658932861822e-04,2,986897370661212e-04,3,096893573693860e-04
