#Title: CKT2
#Date: 
#Plotname: Transient analysis
#Flags: real
#No. Variables: 6
#No. Points: 651     
#Command: version 4.3.22
#Variables:
"time units=S","v(100) units=V","v(101) units=V","v(102) units=V","v(103) units=V","v(104) units=V"
#Values:
0,000000000000000e+00,0,000000000000000e+00,3,523261117218812e-05,1,402438401506309e-05,-2,124209001668389e-17,1,701409405751308e-05
5,000000000000000e-13,-2,861195010981162e-17,6,515140796138866e-02,2,632254948623823e-02,-1,206379248683986e-15,3,231646335562497e-02
1,000000000000000e-12,-7,992943898247953e-17,2,368545360878652e-01,9,806954431104084e-02,-2,099531600483695e-15,1,183258503615239e-01
1,500000000000000e-12,-1,214341496389602e-16,4,789618236309284e-01,2,039614237792918e-01,-2,586094965832479e-15,2,391253519154936e-01
2,000000000000000e-12,-1,426944208173528e-16,7,509590764661273e-01,3,301582847514910e-01,-2,631392529181801e-15,3,728144013461072e-01
2,500000000000000e-12,-1,035874373460488e-16,1,015422154790180e+00,4,612005923694452e-01,-2,294146535478666e-15,4,990876974925002e-01
3,000000000000000e-12,-2,265085926039553e-17,1,245534035116734e+00,5,823382172656115e-01,-1,685699124524696e-15,6,032289587958245e-01
3,500000000000000e-12,3,985100835665693e-17,1,426764843110597e+00,6,812747874406965e-01,-9,240327771392749e-16,6,772278840442965e-01
4,000000000000000e-12,7,186495460434175e-17,1,554452886757547e+00,7,493674693775502e-01,-1,273027110773942e-16,7,191235923594915e-01
4,500000000000000e-12,8,788737016319613e-17,1,629818081014066e+00,7,821603138091507e-01,5,875743937780445e-16,7,314264873341587e-01
5,000000000000000e-12,8,848279314508303e-17,1,656532278975554e+00,7,793780500155372e-01,1,129709886569875e-15,7,193685638602030e-01
5,500000000000000e-12,6,870736701830893e-17,1,638701683749818e+00,7,445842190652281e-01,1,446281982124391e-15,6,894149598124932e-01
5,999999999999999e-12,3,330132650893438e-17,1,580225836019095e+00,6,846104174714589e-01,1,518020455481890e-15,6,481752359752572e-01
6,499999999999999e-12,-7,664583427369912e-18,1,485183937619626e+00,6,087261296384610e-01,1,362713486228978e-15,6,016929204609405e-01
6,999999999999999e-12,-4,884441012598182e-17,1,358854801249602e+00,5,274792458901351e-01,1,030428100147358e-15,5,550432901154645e-01
7,500000000000000e-12,-9,002423682459379e-17,1,208934813369074e+00,4,512440982072182e-01,5,873059308985804e-16,5,121678305812227e-01
8,000000000000000e-12,-1,312040635232057e-16,1,046411086909149e+00,3,886990821688323e-01,1,099666007111339e-16,4,758769946193903e-01
8,500000000000000e-12,-1,723838902218177e-16,8,854942052302401e-01,3,455844527530883e-01,-3,294451113668737e-16,4,479522242147058e-01
9,000000000000000e-12,-2,037480685537652e-16,7,422217676049260e-01,3,240618805165909e-01,-6,749590666021461e-16,4,292829077187649e-01
9,500000000000000e-12,-2,052168783477546e-16,6,318777019925996e-01,3,228199456429658e-01,-8,874374515909407e-16,4,199918514417314e-01
9,999999999999999e-12,-1,684854091478225e-16,5,659821747374496e-01,3,378424318738443e-01,-9,514690962089712e-16,4,195315155349066e-01
1,050000000000000e-11,-1,054174128762723e-16,5,498793693653824e-01,3,635830554626893e-01,-8,772281179204012e-16,4,267621338784727e-01
1,100000000000000e-11,-3,374308225471659e-17,5,817128648062208e-01,3,942221301476026e-01,-6,923016058703706e-16,4,400404397650566e-01
1,150000000000000e-11,2,855744088456306e-17,6,530401331991664e-01,4,247153680150734e-01,-4,334956923062511e-16,4,573479315049452e-01
1,200000000000000e-11,6,594248436593937e-17,7,508081937118833e-01,4,514508076534574e-01,-1,441511308794039e-16,4,764721340946659e-01
1,250000000000000e-11,8,735945722231182e-17,8,600485827965404e-01,4,724626997620406e-01,1,320660196746302e-16,4,952311378531208e-01
1,300000000000000e-11,1,079493705716178e-16,9,665102096408081e-01,4,872671173954795e-01,3,575730060661025e-16,5,117108980122387e-01
1,350000000000000e-11,1,188162901643310e-16,1,058583524973325e+00,4,964534718800351e-01,5,060636167614538e-16,5,244740044438527e-01
1,400000000000000e-11,1,096858492391478e-16,1,128235957053407e+00,5,011828211636482e-01,5,664209830573022e-16,5,327005770628505e-01
1,450000000000000e-11,8,726288776044053e-17,1,171082926450384e+00,5,027212248788075e-01,5,417115434768035e-16,5,362346431930228e-01
1,500000000000000e-11,5,925318079918689e-17,1,185951581662812e+00,5,020945960675404e-01,4,460860512474260e-16,5,355282526805314e-01
1,550000000000000e-11,2,368068949647041e-17,1,174294267466446e+00,4,999065547433887e-01,3,012727123506549e-16,5,314957235229731e-01
1,600000000000000e-11,-1,476953860812009e-17,1,139662092137754e+00,4,963212659116548e-01,1,324479797946827e-16,5,253076115972553e-01
1,650000000000000e-11,-5,337562613806894e-17,1,087277909640242e+00,4,911824591639647e-01,-3,502330347852189e-17,5,181650978933515e-01
1,700000000000001e-11,-9,439444593298539e-17,1,023630836678317e+00,4,842189412966956e-01,-1,781890267919576e-16,5,110983068703256e-01
1,750000000000001e-11,-1,211133214768038e-16,9,559788383493402e-01,4,752764599852478e-01,-2,799770653927542e-16,5,048257451017510e-01
1,800000000000001e-11,-1,179596957238729e-16,8,916885448100889e-01,4,645158583891024e-01,-3,321181200469989e-16,4,996976122002433e-01
1,850000000000001e-11,-8,876210691193000e-17,8,374363064789319e-01,4,525276056359119e-01,-3,341214488260988e-16,4,957263447789633e-01
1,900000000000001e-11,-4,106017572992001e-17,7,983955210363864e-01,4,403317697830956e-01,-2,907919263466399e-16,4,926880869085629e-01
1,950000000000001e-11,1,684035685889814e-17,7,775914469475306e-01,4,292579237362482e-01,-2,132663949120849e-16,4,902636929355742e-01
2,000000000000001e-11,7,419427803100932e-17,7,750363070808913e-01,4,206027131752265e-01,-1,166994518738343e-16,4,881740109077780e-01
2,050000000000002e-11,1,265694840524310e-16,7,923724773228789e-01,4,233071416235031e-01,1,373247510392169e-02,4,873500978859391e-01
2,100000000000002e-11,1,761236145710809e-16,8,224803231811275e-01,4,490826512841057e-01,6,481022096727901e-02,4,897187267613987e-01
