time units=S;Vdummy#branch units=A
1.454999999999997e-10;0.000000000000000e+00
1.459999999999997e-10;0.000000000000000e+00
1.464999999999996e-10;0.000000000000000e+00
1.469999999999996e-10;0.000000000000000e+00
1.474999999999996e-10;0.000000000000000e+00
1.479999999999996e-10;0.000000000000000e+00
1.484999999999996e-10;0.000000000000000e+00
1.489999999999996e-10;0.000000000000000e+00
1.494999999999996e-10;0.000000000000000e+00
1.499999999999996e-10;0.000000000000000e+00
1.504999999999996e-10;0.000000000000000e+00
1.509999999999996e-10;0.000000000000000e+00
1.514999999999996e-10;0.000000000000000e+00
1.519999999999996e-10;0.000000000000000e+00
1.524999999999996e-10;0.000000000000000e+00
1.529999999999996e-10;0.000000000000000e+00
1.534999999999996e-10;0.000000000000000e+00
1.539999999999996e-10;0.000000000000000e+00
1.544999999999996e-10;0.000000000000000e+00
1.549999999999996e-10;0.000000000000000e+00
1.554999999999996e-10;0.000000000000000e+00
1.559999999999996e-10;0.000000000000000e+00
1.564999999999996e-10;0.000000000000000e+00
1.569999999999996e-10;0.000000000000000e+00
1.574999999999996e-10;0.000000000000000e+00
1.579999999999996e-10;0.000000000000000e+00
1.584999999999996e-10;0.000000000000000e+00
1.589999999999996e-10;0.000000000000000e+00
1.594999999999996e-10;0.000000000000000e+00
1.599999999999996e-10;0.000000000000000e+00
1.604999999999996e-10;0.000000000000000e+00
1.609999999999996e-10;0.000000000000000e+00
1.614999999999996e-10;0.000000000000000e+00
1.619999999999996e-10;0.000000000000000e+00
1.624999999999996e-10;0.000000000000000e+00
1.629999999999996e-10;0.000000000000000e+00
1.634999999999996e-10;0.000000000000000e+00
1.639999999999996e-10;0.000000000000000e+00
1.644999999999996e-10;0.000000000000000e+00
1.649999999999996e-10;0.000000000000000e+00
1.654999999999996e-10;0.000000000000000e+00
1.659999999999996e-10;0.000000000000000e+00
1.664999999999996e-10;0.000000000000000e+00
1.669999999999996e-10;0.000000000000000e+00
