time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
1.300000000000000e-11;3.830834628613220e-17;9.118288869104916e-01;4.514556858495424e-01;-2.216504714805604e-18;4.881087000773394e-01
1.350000000000000e-11;3.823685080058879e-17;9.169333821604122e-01;4.526809490723166e-01;-6.838786155653364e-19;4.899482699571207e-01
1.400000000000000e-11;3.338050188377325e-17;9.209379447354338e-01;4.536452268476845e-01;6.166376603527392e-19;4.915638804231532e-01
1.450000000000000e-11;2.095622138872943e-17;9.237608030621628e-01;4.543997084505979e-01;1.600307154779475e-18;4.928854142568254e-01
1.500000000000000e-11;5.664498565342693e-18;9.254609180405657e-01;4.549841928282870e-01;2.224721173955788e-18;4.939038293957259e-01
1.550000000000000e-11;-7.357483205735044e-18;9.261926317338882e-01;4.554244167017689e-01;2.449745472720333e-18;4.946566013610913e-01
1.600000000000000e-11;-1.539042004558503e-17;9.261632982390796e-01;4.557356185926933e-01;2.291914856733635e-18;4.952066423475150e-01
1.650000000000000e-11;-1.948867890772805e-17;9.255974159056385e-01;4.559285764422434e-01;1.846774753656508e-18;4.956217795271595e-01
1.700000000000001e-11;-2.093655563732709e-17;9.247091008584174e-01;4.560151696935850e-01;1.258839219203512e-18;4.959595473523908e-01
1.750000000000001e-11;-1.981326693743152e-17;9.236833739772358e-01;4.560117451716896e-01;6.389942967351233e-19;4.962592710784081e-01
1.800000000000001e-11;-1.611881280804135e-17;9.226657080426407e-01;4.559397864494373e-01;6.751398631569330e-20;4.965410187855240e-01
1.850000000000001e-11;-9.853193249156572e-18;9.217585927092723e-01;4.558243157469713e-01;-3.924806963473545e-19;4.968094520421920e-01
1.900000000000001e-11;-3.418845327498430e-18;9.210234952979695e-01;4.556909719322682e-01;-7.041279877107452e-19;4.970600275706437e-01
1.950000000000001e-11;-5.842923971691677e-19;9.204864826821425e-01;4.555628200604598e-01;-8.557465885664340e-19;4.972852347087958e-01
2.000000000000001e-11;-1.606487611081811e-18;9.201402040558001e-01;4.554566269230054e-01;-8.607139687606470e-19;4.974803537860248e-01
2.050000000000002e-11;-2.124323931816727e-18;9.205695753877602e-01;4.616794201898453e-01;1.309401842716364e-02;4.985360205711782e-01
2.100000000000002e-11;2.373928700214612e-18;9.227146638248245e-01;4.841954911537920e-01;6.097727999355276e-02;5.020083065723564e-01
2.150000000000002e-11;1.106062011184924e-17;9.286240419925711e-01;5.358175087564859e-01;1.759060539636311e-01;5.106468987891462e-01
2.200000000000002e-11;1.974602465389951e-17;9.376341361861207e-01;5.987503145724282e-01;3.241833957801775e-01;5.229026233739702e-01
2.250000000000002e-11;2.939432936242596e-17;9.494452069545891e-01;6.622576682865636e-01;4.835312485999498e-01;5.377829200825228e-01
2.300000000000002e-11;3.777249379121683e-17;9.637213762738148e-01;7.179451162458015e-01;6.346147328702402e-01;5.542510001898799e-01
2.350000000000003e-11;3.846804680154743e-17;9.797042116700856e-01;7.606678588957329e-01;7.624813986610395e-01;5.709596310369798e-01
2.400000000000003e-11;2.759335537915230e-17;9.964103970126617e-01;7.889348905536764e-01;8.592299172945134e-01;5.865875889144925e-01
2.450000000000003e-11;9.593910503105648e-18;1.012751109579626e+00;8.038625872891607e-01;9.227529081283230e-01;6.000199084690827e-01
2.500000000000003e-11;-7.807783451018531e-18;1.027685418958861e+00;8.080912144575652e-01;9.549847830814886e-01;6.105136168172450e-01
