time units=S;i(Vdummy1) units=A;i(Vdummy2) units=A
2.500000000000003e-11;0.000000000000000e+00;9.999999999999999e-05
2.550000000000003e-11;0.000000000000000e+00;1.000000000000000e-04
2.600000000000003e-11;0.000000000000000e+00;1.000000000000000e-04
2.650000000000003e-11;0.000000000000000e+00;1.000000000000000e-04
2.700000000000004e-11;0.000000000000000e+00;1.000000000000000e-04
2.750000000000004e-11;0.000000000000000e+00;9.999999999999999e-05
2.800000000000004e-11;0.000000000000000e+00;1.000000000000000e-04
2.850000000000004e-11;-5.135295902747861e-23;1.000000000000000e-04
2.900000000000004e-11;-3.384747041952871e-24;1.000000000000000e-04
2.950000000000004e-11;5.473770606943283e-23;1.000000000000000e-04
3.000000000000004e-11;0.000000000000000e+00;1.000000000000000e-04
3.050000000000004e-11;0.000000000000000e+00;9.999999999999999e-05
3.100000000000004e-11;0.000000000000000e+00;1.000000000000000e-04
3.150000000000003e-11;2.326021966247228e-23;4.999999999999635e-05
3.200000000000003e-11;3.431433128302842e-36;-3.231174267785247e-18
3.250000000000003e-11;0.000000000000000e+00;0.000000000000000e+00
3.300000000000003e-11;0.000000000000000e+00;0.000000000000000e+00
3.350000000000003e-11;0.000000000000000e+00;0.000000000000000e+00
3.400000000000002e-11;0.000000000000000e+00;0.000000000000000e+00
3.450000000000002e-11;0.000000000000000e+00;0.000000000000000e+00
3.500000000000002e-11;0.000000000000000e+00;0.000000000000000e+00
3.550000000000002e-11;0.000000000000000e+00;0.000000000000000e+00
3.600000000000002e-11;-6.137489522977885e-25;1.041867448858013e-22
3.650000000000002e-11;-6.349341953212602e-25;1.077830386178991e-22
3.700000000000001e-11;2.716335286639442e-23;-2.075273030111014e-22
3.750000000000001e-11;2.832630986985032e-23;-2.164122639962992e-22
3.800000000000001e-11;0.000000000000000e+00;0.000000000000000e+00
3.850000000000001e-11;-1.289112642939687e-23;0.000000000000000e+00
3.900000000000001e-11;-1.299884323381135e-23;-1.029174647450497e-22
3.950000000000001e-11;6.423917022321008e-25;-1.090523187586507e-22
4.000000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
4.050000000000000e-11;-3.012746061171122e-25;5.114141233733693e-23
4.100000000000000e-11;-3.230835227958005e-25;5.484347941451325e-23
4.150000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
4.200000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
4.250000000000000e-11;0.000000000000000e+00;0.000000000000000e+00
4.299999999999999e-11;0.000000000000000e+00;0.000000000000000e+00
4.349999999999999e-11;1.487719380954930e-25;-2.525338613348056e-23
4.399999999999999e-11;1.634154587039279e-25;-2.773905974244452e-23
4.449999999999999e-11;0.000000000000000e+00;0.000000000000000e+00
4.499999999999999e-11;0.000000000000000e+00;0.000000000000000e+00
4.549999999999999e-11;0.000000000000000e+00;0.000000000000000e+00
4.599999999999998e-11;0.000000000000000e+00;0.000000000000000e+00
4.649999999999998e-11;0.000000000000000e+00;0.000000000000000e+00
4.699999999999998e-11;0.000000000000000e+00;0.000000000000000e+00
4.749999999999998e-11;9.699333106730482e-26;0.000000000000000e+00
4.799999999999998e-11;1.100084106355276e-25;0.000000000000000e+00
4.849999999999997e-11;0.000000000000000e+00;0.000000000000000e+00
4.899999999999997e-11;0.000000000000000e+00;0.000000000000000e+00
4.949999999999997e-11;0.000000000000000e+00;0.000000000000000e+00
4.999999999999997e-11;8.271806125529126e-25;0.000000000000000e+00
5.049999999999997e-11;4.999999999999670e-05;0.000000000000000e+00
5.099999999999997e-11;9.999999999999613e-05;0.000000000000000e+00
5.149999999999996e-11;1.000000000000000e-04;0.000000000000000e+00
5.199999999999996e-11;1.000000000000000e-04;0.000000000000000e+00
5.249999999999996e-11;1.000000000000000e-04;0.000000000000000e+00
5.299999999999996e-11;1.000000000000000e-04;0.000000000000000e+00
5.349999999999996e-11;1.000000000000000e-04;0.000000000000000e+00
5.399999999999996e-11;1.000000000000000e-04;0.000000000000000e+00
5.449999999999995e-11;1.000000000000000e-04;0.000000000000000e+00
5.499999999999995e-11;1.000000000000000e-04;0.000000000000000e+00
5.549999999999995e-11;1.000000000000000e-04;0.000000000000000e+00
5.599999999999995e-11;1.000000000000000e-04;0.000000000000000e+00
5.649999999999995e-11;1.000000000000000e-04;0.000000000000000e+00
5.699999999999995e-11;1.000000000000000e-04;0.000000000000000e+00
5.749999999999994e-11;1.000000000000000e-04;-5.156450571757243e-23
5.799999999999994e-11;1.000000000000000e-04;-5.442038603427638e-23
5.849999999999994e-11;9.999999999999999e-05;0.000000000000000e+00
5.899999999999994e-11;1.000000000000000e-04;0.000000000000000e+00
5.949999999999994e-11;9.999999999999999e-05;0.000000000000000e+00
5.999999999999993e-11;1.000000000000000e-04;0.000000000000000e+00
6.049999999999993e-11;1.499999999999931e-04;0.000000000000000e+00
6.099999999999993e-11;1.999999999999932e-04;0.000000000000000e+00
6.149999999999993e-11;1.500000000000074e-04;0.000000000000000e+00
6.199999999999993e-11;1.000000000000078e-04;0.000000000000000e+00
6.249999999999993e-11;1.000000000000000e-04;0.000000000000000e+00
6.299999999999992e-11;1.000000000000000e-04;0.000000000000000e+00
6.349999999999992e-11;1.000000000000000e-04;0.000000000000000e+00
6.399999999999992e-11;1.000000000000000e-04;0.000000000000000e+00
6.449999999999992e-11;1.000000000000000e-04;0.000000000000000e+00
6.499999999999992e-11;1.000000000000000e-04;0.000000000000000e+00
6.549999999999992e-11;1.000000000000000e-04;0.000000000000000e+00
6.599999999999991e-11;1.000000000000000e-04;0.000000000000000e+00
6.649999999999991e-11;1.000000000000000e-04;0.000000000000000e+00
6.699999999999991e-11;1.000000000000000e-04;0.000000000000000e+00
6.749999999999991e-11;1.000000000000000e-04;0.000000000000000e+00
6.799999999999991e-11;1.000000000000000e-04;0.000000000000000e+00
6.849999999999991e-11;1.000000000000000e-04;0.000000000000000e+00
6.899999999999990e-11;1.000000000000000e-04;0.000000000000000e+00
6.949999999999990e-11;1.000000000000000e-04;0.000000000000000e+00
6.999999999999990e-11;1.000000000000000e-04;0.000000000000000e+00
7.049999999999990e-11;1.000000000000000e-04;0.000000000000000e+00
7.099999999999990e-11;9.999999999999984e-05;0.000000000000000e+00
7.149999999999990e-11;5.000000000001064e-05;3.957245272118936e-23
7.199999999999989e-11;1.052949303709780e-17;4.392234404227865e-35
7.249999999999989e-11;0.000000000000000e+00;0.000000000000000e+00
7.299999999999989e-11;0.000000000000000e+00;0.000000000000000e+00
7.349999999999989e-11;-8.419558266909395e-22;0.000000000000000e+00
7.399999999999989e-11;-8.538024413386632e-22;0.000000000000000e+00
7.449999999999988e-11;-4.192855398244676e-22;0.000000000000000e+00
7.499999999999988e-11;-4.285935941903337e-22;0.000000000000000e+00
7.549999999999988e-11;-3.073337873103701e-25;5.219914578793319e-23
7.599999999999988e-11;-3.166752398125511e-25;5.378574596391698e-23
7.649999999999988e-11;0.000000000000000e+00;0.000000000000000e+00
7.699999999999988e-11;2.075273030109811e-22;0.000000000000000e+00
7.749999999999987e-11;2.164122639964196e-22;0.000000000000000e+00
7.799999999999987e-11;0.000000000000000e+00;0.000000000000000e+00
7.849999999999987e-11;-1.897129671752452e-26;3.222781607347337e-24
7.899999999999987e-11;-2.002201468959804e-26;3.401274127143299e-24
7.949999999999987e-11;0.000000000000000e+00;0.000000000000000e+00
7.999999999999987e-11;0.000000000000000e+00;0.000000000000000e+00
8.049999999999986e-11;0.000000000000000e+00;0.000000000000000e+00
8.099999999999986e-11;0.000000000000000e+00;0.000000000000000e+00
8.149999999999986e-11;0.000000000000000e+00;0.000000000000000e+00
8.199999999999986e-11;0.000000000000000e+00;0.000000000000000e+00
8.249999999999986e-11;1.866072031102680e-26;-3.169894934816020e-24
8.299999999999986e-11;2.033415299797050e-26;-3.454160799674616e-24
8.349999999999985e-11;0.000000000000000e+00;0.000000000000000e+00
8.399999999999985e-11;6.304760869302679e-24;-7.875156081541941e-25
8.449999999999985e-11;6.953099342757855e-24;-8.684983254684649e-25
8.499999999999985e-11;-1.254736305793579e-23;0.000000000000000e+00
8.549999999999985e-11;-1.427940158356625e-24;0.000000000000000e+00
8.599999999999985e-11;1.397530321629241e-23;0.000000000000000e+00
8.649999999999984e-11;0.000000000000000e+00;0.000000000000000e+00
8.699999999999984e-11;0.000000000000000e+00;0.000000000000000e+00
8.749999999999984e-11;0.000000000000000e+00;0.000000000000000e+00
8.799999999999984e-11;0.000000000000000e+00;0.000000000000000e+00
8.849999999999984e-11;0.000000000000000e+00;0.000000000000000e+00
8.899999999999983e-11;0.000000000000000e+00;0.000000000000000e+00
8.949999999999983e-11;0.000000000000000e+00;0.000000000000000e+00
8.999999999999983e-11;0.000000000000000e+00;0.000000000000000e+00
9.049999999999983e-11;0.000000000000000e+00;0.000000000000000e+00
9.099999999999983e-11;0.000000000000000e+00;0.000000000000000e+00
9.149999999999983e-11;0.000000000000000e+00;0.000000000000000e+00
9.199999999999982e-11;-1.120072493440846e-27;1.902680679721339e-25
9.249999999999982e-11;-1.317088502062051e-27;2.237354154335308e-25
9.299999999999982e-11;0.000000000000000e+00;0.000000000000000e+00
9.349999999999982e-11;0.000000000000000e+00;0.000000000000000e+00
9.399999999999982e-11;0.000000000000000e+00;0.000000000000000e+00
9.449999999999982e-11;7.528087293055175e-25;0.000000000000000e+00
9.499999999999981e-11;9.032052043171414e-25;0.000000000000000e+00
9.549999999999981e-11;0.000000000000000e+00;0.000000000000000e+00
9.599999999999981e-11;-1.375766580974295e-28;2.337033136736583e-26
9.649999999999981e-11;-1.670682290049236e-28;2.838010405834226e-26
9.699999999999981e-11;-9.306814834031242e-26;0.000000000000000e+00
9.749999999999981e-11;-1.605010378079663e-25;2.321538994393424e-26
9.799999999999980e-11;-5.723807131518722e-26;2.853504548177385e-26
9.849999999999980e-11;1.848967652931721e-25;0.000000000000000e+00
