time units=S;v(100) units=V;v(101) units=V;v(102) units=V;v(103) units=V;v(104) units=V
6.199999999999993e-11;8.151886331001796e-01;4.429744580505847e+04;4.893016856846109e+04;3.128320722767671e+05;4.363578196133878e+04
6.249999999999993e-11;8.696358650067346e-01;4.466730092008364e+04;4.930841802654701e+04;3.154077124914903e+05;4.400677493629871e+04
6.299999999999992e-11;8.848030816678477e-01;4.503794913242004e+04;4.967904968598273e+04;3.179833527059391e+05;4.437881711893457e+04
6.349999999999992e-11;8.696952820756787e-01;4.540909601021475e+04;5.004511195838913e+04;3.205589929202093e+05;4.475126573886762e+04
6.399999999999992e-11;8.334995636615755e-01;4.578044150314673e+04;5.040869848434477e+04;3.231346331343409e+05;4.512354722944001e+04
6.449999999999992e-11;7.848498106746491e-01;4.615173612473628e+04;5.077119905605151e+04;3.257102733483856e+05;4.549526493580107e+04
6.499999999999992e-11;7.313799538269763e-01;4.652279910220757e+04;5.113349219302830e+04;3.282859135624060e+05;4.586621613804087e+04
6.549999999999992e-11;6.793990675009283e-01;4.689351675141780e+04;5.149609378509916e+04;3.308615537763367e+05;4.623636044199710e+04
6.599999999999991e-11;6.336536686268393e-01;4.726383186541319e+04;5.185927093576746e+04;3.334371939902527e+05;4.660576938729749e+04
6.649999999999991e-11;5.972090673832653e-01;4.763373024169403e+04;5.222312751752713e+04;3.360128342041466e+05;4.697457589108513e+04
6.699999999999991e-11;5.714860081830299e-01;4.800322759896409e+04;5.258766673756338e+04;3.385884744180306e+05;4.734293318801630e+04
6.749999999999991e-11;5.564569785699947e-01;4.837235840023422e+04;5.295283526212785e+04;3.411641146318935e+05;4.771098661895321e+04
6.799999999999991e-11;5.509680907970125e-01;4.874116708415818e+04;5.331855296198226e+04;3.437397548457576e+05;4.807885767712348e+04
6.849999999999991e-11;5.531274203680121e-01;4.910970165957202e+04;5.368473183222089e+04;3.463153950596242e+05;4.844663790017080e+04
6.899999999999990e-11;5.606954937795317e-01;4.947800937693950e+04;5.405128709673945e+04;3.488910352734952e+05;4.881438944925175e+04
6.949999999999990e-11;5.714247126612608e-01;4.984613403567715e+04;5.441814295481986e+04;3.514666754873713e+05;4.918214953598820e+04
6.999999999999990e-11;5.833143841135142e-01;5.021411451800165e+04;5.478523482262626e+04;3.540423157012502e+05;4.954993643157305e+04
7.049999999999990e-11;5.947694241650836e-01;5.058198424354044e+04;5.515250949202920e+04;3.566179559151315e+05;4.991775548409484e+04
7.099999999999990e-11;6.046685169680911e-01;5.094977114607408e+04;5.551992419256624e+04;3.591935961290135e+05;5.028560431555573e+04
7.149999999999990e-11;6.056820201539255e-01;5.131749258281940e+04;5.588744499831178e+04;3.617692363432332e+05;5.065347672542390e+04
7.199999999999989e-11;5.687106433271687e-01;5.168514399588692e+04;5.625504505326993e+04;3.643448765573620e+05;5.102136535527285e+04
7.249999999999989e-11;4.773499425182191e-01;5.205292466952434e+04;5.666337152238536e+04;3.669205167706476e+05;5.138957492443850e+04
7.299999999999989e-11;3.504261732347779e-01;5.242150930266338e+04;5.705363890409797e+04;3.694961569840985e+05;5.175910694652822e+04
7.349999999999989e-11;2.123262714237050e-01;5.279109452764319e+04;5.743193124804644e+04;3.720717971977113e+05;5.213013473783710e+04
7.399999999999989e-11;8.312896700854785e-02;5.316150774641155e+04;5.780258740636627e+04;3.746474374113426e+05;5.250220032798401e+04
7.449999999999988e-11;-2.299252712121367e-02;5.353244809056637e+04;5.816865832850482e+04;3.772230776250574e+05;5.287466399500971e+04
7.499999999999988e-11;-9.837152535700375e-02;5.390361037525217e+04;5.853224026334796e+04;3.797987178388454e+05;5.324695461731024e+04
7.549999999999988e-11;-1.413200335264677e-01;5.427474098944599e+04;5.889472548805631e+04;3.823743580526967e+05;5.361867727365086e+04
7.599999999999988e-11;-1.548032838174452e-01;5.464565583325682e+04;5.925699478129848e+04;3.849499982665693e+05;5.398963033666037e+04
7.649999999999988e-11;-1.448041534947985e-01;5.501623853357487e+04;5.961956601783389e+04;3.875256384804486e+05;5.435977401251539e+04
7.699999999999988e-11;-1.187478046286201e-01;5.538642970909777e+04;5.998270798123120e+04;3.901012786943564e+05;5.472918011516871e+04
7.749999999999987e-11;-8.418003867122334e-02;5.575621339996080e+04;6.034652592692705e+04;3.926769189082654e+05;5.509798165289672e+04
7.799999999999987e-11;-4.777863744956808e-02;5.612560390588503e+04;6.071102416927258e+04;3.952525591221742e+05;5.546633187977728e+04
7.849999999999987e-11;-1.472301129877183e-02;5.649463454113561e+04;6.107615023300970e+04;3.978281993360795e+05;5.583437614349940e+04
7.899999999999987e-11;1.158771679890426e-02;5.686334880988503e+04;6.144182463391186e+04;4.004038395499811e+05;5.620223596742161e+04
7.949999999999987e-11;2.951427591321334e-02;5.723179397236296e+04;6.180795983771576e+04;4.029794797638789e+05;5.657000296501849e+04
7.999999999999987e-11;3.893143899281264e-02;5.760001667015718e+04;6.217447139675750e+04;4.055551199777725e+05;5.693773939652932e+04
8.049999999999986e-11;4.084798606483311e-02;5.796806018858065e+04;6.254128372260241e+04;4.081307601916630e+05;5.730548261060116e+04
8.099999999999986e-11;3.697881628474897e-02;5.833596300919153e+04;6.290833237225430e+04;4.107064004055532e+05;5.767325101455730e+04
8.149999999999986e-11;2.933821022674207e-02;5.870375819389964e+04;6.327556421079773e+04;4.132820406194443e+05;5.804105010878796e+04
8.199999999999986e-11;1.990121354753433e-02;5.907147339344405e+04;6.364293650119928e+04;4.158576808333384e+05;5.840887764808677e+04
8.249999999999986e-11;1.035865309691498e-02;5.943913119057013e+04;6.401041544766113e+04;4.184333210472375e+05;5.877672758233477e+04
8.299999999999986e-11;1.972783357569597e-03;5.980674964145396e+04;6.437797468320829e+04;4.210089612611403e+05;5.914459275361853e+04
8.349999999999985e-11;-4.473992948394358e-03;6.017434289947341e+04;6.474559381743259e+04;4.235846014750464e+05;5.951246648495497e+04
8.399999999999985e-11;-8.654894998732190e-03;6.054192183127724e+04;6.511325721393058e+04;4.261602416889553e+05;5.988034338628495e+04
8.449999999999985e-11;-1.062185681530196e-02;6.090949461007427e+04;6.548095294964139e+04;4.287358819028643e+05;6.024821954417837e+04
8.499999999999985e-11;-1.069970023282201e-02;6.127706722795447e+04;6.584867201383816e+04;4.313115221167714e+05;6.061609244319116e+04
8.549999999999985e-11;-9.372686368296683e-03;6.164464395756744e+04;6.621640763774129e+04;4.338871623306758e+05;6.098396066191050e+04
8.599999999999985e-11;-7.180134026160159e-03;6.201222772161959e+04;6.658415481224014e+04;4.364628025445751e+05;6.135182359103978e+04
8.649999999999984e-11;-4.632233452020650e-03;6.237982041757772e+04;6.695190985972805e+04;4.390384427584700e+05;6.171968112498359e+04
8.699999999999984e-11;-2.151655982679257e-03;6.274742316052401e+04;6.731967015223259e+04;4.416140829723622e+05;6.208753345278227e+04
8.749999999999984e-11;-4.176307379126195e-05;6.311503649855721e+04;6.768743382904489e+04;4.441897231862524e+05;6.245538089322022e+04
